Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2024-01-02,01:45,CNY,Caixin Manufacturing PMI,MEDIUM,,,
2024-01-03,13:30,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-01-03,15:00,USD,ISM Manufacturing PMI,HIGH,,,
2024-01-03,15:00,USD,JOLTS Job Openings,HIGH,,,
2024-01-03,15:00,USD,ISM Manufacturing Prices,MEDIUM,,,
2024-01-03,19:00,USD,FOMC Meeting Minutes,HIGH,,,
2024-01-04,01:45,CNY,Caixin Services PMI,MEDIUM,,,
2024-01-04,07:29,EUR,German Prelim CPI m/m,HIGH,,,
2024-01-04,13:15,USD,ADP Non-Farm Employment Change,HIGH,,,
2024-01-04,13:30,USD,Unemployment Claims,HIGH,,,
2024-01-05,09:30,GBP,Construction PMI,MEDIUM,,,
2024-01-05,10:00,EUR,Core CPI Flash Estimate y/y,MEDIUM,,,
2024-01-05,10:00,EUR,CPI Flash Estimate y/y,MEDIUM,,,
2024-01-05,13:30,CAD,Employment Change,HIGH,,,
2024-01-05,13:30,CAD,Unemployment Rate,HIGH,,,
2024-01-05,13:30,USD,Average Hourly Earnings m/m,HIGH,,,
2024-01-05,13:30,USD,Non-Farm Employment Change,HIGH,,,
2024-01-05,13:30,USD,Unemployment Rate,HIGH,,,
2024-01-05,15:00,CAD,Ivey PMI,MEDIUM,,,
2024-01-05,15:00,USD,ISM Services PMI,HIGH,,,
2024-01-05,18:30,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-01-08,07:30,CHF,CPI m/m,HIGH,,,
2024-01-08,23:30,JPY,Tokyo Core CPI y/y,MEDIUM,,,
2024-01-09,00:30,AUD,Retail Sales m/m,MEDIUM,,,
2024-01-09,08:00,CHF,Foreign Currency Reserves,MEDIUM,,,
2024-01-10,00:30,AUD,CPI y/y,HIGH,,,
2024-01-10,14:15,GBP,BOE Gov Bailey Speaks,HIGH,,,
2024-01-10,18:01,USD,10-y Bond Auction,MEDIUM,,,
2024-01-11,13:30,USD,Core CPI m/m,HIGH,,,
2024-01-11,13:30,USD,CPI m/m,HIGH,,,
2024-01-11,13:30,USD,CPI y/y,HIGH,,,
2024-01-11,13:30,USD,Unemployment Claims,HIGH,,,
2024-01-11,18:01,USD,30-y Bond Auction,MEDIUM,,,
2024-01-12,01:30,CNY,CPI y/y,HIGH,,,
2024-01-12,01:30,CNY,PPI y/y,MEDIUM,,,
2024-01-12,07:00,GBP,GDP m/m,HIGH,,,
2024-01-12,09:36,CNY,New Loans,MEDIUM,,,
2024-01-12,13:30,USD,Core PPI m/m,HIGH,,,
2024-01-12,13:30,USD,PPI m/m,HIGH,,,
2024-01-15,09:15,All,WEF Annual Meetings,MEDIUM,,,
2024-01-15,15:30,CAD,BOC Business Outlook Survey,MEDIUM,,,
2024-01-16,07:00,GBP,Claimant Count Change,HIGH,,,
2024-01-16,07:00,GBP,Average Earnings Index 3m/y,MEDIUM,,,
2024-01-16,09:15,All,WEF Annual Meetings,MEDIUM,,,
2024-01-16,13:30,CAD,CPI m/m,HIGH,,,
2024-01-16,13:30,CAD,Median CPI y/y,HIGH,,,
2024-01-16,13:30,CAD,Trimmed CPI y/y,HIGH,,,
2024-01-16,13:30,CAD,Common CPI y/y,MEDIUM,,,
2024-01-16,13:30,USD,Empire State Manufacturing Index,HIGH,,,
2024-01-16,15:00,GBP,BOE Gov Bailey Speaks,HIGH,,,
2024-01-17,02:00,CNY,Industrial Production y/y,HIGH,,,
2024-01-17,02:00,CNY,GDP q/y,MEDIUM,,,
2024-01-17,02:00,CNY,Retail Sales y/y,MEDIUM,,,
2024-01-17,07:00,GBP,CPI y/y,HIGH,,,
2024-01-17,09:15,All,WEF Annual Meetings,MEDIUM,,,
2024-01-17,13:30,USD,Core Retail Sales m/m,HIGH,,,
2024-01-17,13:30,USD,Retail Sales m/m,HIGH,,,
2024-01-17,14:15,USD,Industrial Production m/m,MEDIUM,,,
2024-01-17,15:15,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-01-18,00:30,AUD,Employment Change,HIGH,,,
2024-01-18,00:30,AUD,Unemployment Rate,HIGH,,,
2024-01-18,09:15,All,WEF Annual Meetings,MEDIUM,,,
2024-01-18,10:30,CHF,SNB Chairman Jordan Speaks,MEDIUM,,,
2024-01-18,13:30,USD,Unemployment Claims,HIGH,,,
2024-01-18,13:30,USD,Building Permits,MEDIUM,,,
2024-01-18,13:30,USD,Philly Fed Manufacturing Index,MEDIUM,,,
2024-01-18,15:15,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-01-19,07:00,GBP,Retail Sales m/m,HIGH,,,
2024-01-19,09:15,All,WEF Annual Meetings,MEDIUM,,,
2024-01-19,10:00,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-01-19,13:30,CAD,Core Retail Sales m/m,MEDIUM,,,
2024-01-19,13:30,CAD,Retail Sales m/m,MEDIUM,,,
2024-01-19,15:00,USD,Prelim UoM Consumer Sentiment,HIGH,,,
2024-01-19,15:00,USD,Existing Home Sales,MEDIUM,,,
2024-01-19,15:00,USD,Prelim UoM Inflation Expectations,MEDIUM,,,
2024-01-22,01:15,CNY,1-y Loan Prime Rate,MEDIUM,,,
2024-01-22,01:15,CNY,5-y Loan Prime Rate,MEDIUM,,,
